model,MAE,RMSE
RandomForest (all cycles),11.974423454965821,16.643049437732163
RandomForest (last cycle),13.061206778499283,18.405307352262106
XGBoost (all cycles),11.62968921661377,16.014497864301056
XGBoost (last cycle),12.630719184875488,17.56547808936075
